id,station_id,city_slug,district_slug,address_en,title,provider,external_id,sensor_type,latitude,longitude,altitude,first_measurement_time,last_measurement_time,is_suspicious
265,99,yerevan,erebuni,"Glinka street","Glinki st (ArmAqi.org)",sensor_community,90874,SDS011,40.160000,44.512000,961.00,"2024-12-28 22:00:00","2025-05-27 14:14:29",true
266,99,yerevan,erebuni,"Glinka street","Glinki st (ArmAqi.org)",sensor_community,90875,BME280,40.160000,44.512000,961.00,"2024-12-28 22:00:00","2025-05-27 14:14:29",true
267,98,yerevan,kanaker-zeytun,"Surenyan street","Surenyan st (ArmAqi.org)",sensor_community,90873,BME280,40.203489,44.526290,1191.50,"2024-12-29 16:00:00","2025-09-16 12:12:59",false
268,100,yerevan,nor-nork,"Ashot Hovhannisyan street, 21","ք. Երևան, Աշոտ Հովհաննիսյան 21 ",yerevan_gis,DPWHJ0148,CLARITY_NODE,40.192423,44.575337,,"2024-12-30 12:00:00","2025-08-11 03:00:00",false
270,58,yerevan,nor-nork,"Gyurjyan street, 11/3",Magas,clarity,DAQTQ5862,CLARITY,40.192600,44.562380,,"2024-09-19 10:00:00","2025-09-16 12:00:00",false
271,67,yerevan,davtashen,"4th quarter Davtashen, 31","Yeghvard Hwy",clarity,DCYBL6171,CLARITY,40.217109,44.494424,,"2024-08-09 16:00:00","2025-03-04 16:00:00",false
272,86,yerevan,arabkir,"Near the Institute of Chemistry",Armstory,clarity,DCZEG8644,CLARITY,40.212904,44.512271,,"2024-12-06 16:00:00","2025-09-16 12:00:00",false
273,70,yerevan,malatia-sebastia,"Zoravar Andranik street, 121/6","Arm construct",clarity,DDZLB1609,CLARITY,40.166857,44.446470,,"2024-08-15 09:00:00","2025-09-16 12:00:00",false
274,67,yerevan,davtashen,"4th quarter Davtashen, 31","Yeghvard Hwy",clarity,DFZDS8491,CLARITY,40.217598,44.494874,,"2024-08-09 16:00:00","2025-03-04 16:00:00",false
275,75,yerevan,nork-marash,"Norki Ayginer street, 180",Technotun,clarity,DIMLF2308,CLARITY,40.183089,44.536401,,"2024-09-06 17:00:00","2025-04-18 01:00:00",false
276,86,yerevan,arabkir,"Near the Institute of Chemistry",Armstory,clarity,DISWI5141,CLARITY,40.213450,44.511689,,"2024-12-06 16:00:00","2025-09-16 12:00:00",false
277,94,yerevan,avan,"Acharyan Street, 37/1","Hrach ev Ruben",clarity,DIWVR7506,CLARITY,40.230070,44.556424,,"2024-08-30 09:00:00","2025-09-16 12:00:00",false
278,90,yerevan,davtashen,"Anastas Mikoyan Street, 107/4","Yeghvard Hwy",clarity,DJCYX4080,CLARITY,40.225458,44.506152,,"2024-08-06 16:00:00","2025-09-16 12:00:00",false
279,33,yerevan,kentron,"Gevorg Emin street, 12","Harutyun Margaryan",clarity,DJEHP7348,CLARITY,40.194102,44.508729,,"2024-08-06 10:00:00","2025-09-16 12:00:00",false
280,66,yerevan,davtashen,"Pirumyanneri street, 7/6",Pars,clarity,DKZZE2240,CLARITY,40.219682,44.496958,,"2024-07-25 16:00:00","2025-09-16 12:00:00",false
